STATUS | wrapper  | 2014/10/27 19:50:32 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/10/27 19:50:33 | Launching a JVM...
INFO   | jvm 1    | 2014/10/27 19:50:33 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2014/10/27 19:50:33 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2014/10/27 19:50:33 | 
INFO   | jvm 1    | 2014/10/27 19:50:33 | 2014-10-27 19:50:33,860 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 1    | 2014/10/27 19:50:34 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 1    | 2014/10/27 19:50:34 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 1    | 2014/10/27 19:50:37 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 1    | 2014/10/27 19:50:37 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 1    | 2014/10/27 19:50:37 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 1    | 2014/10/27 19:50:39 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 1    | 2014/10/27 19:50:39 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 1    | 2014/10/27 19:50:39 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
STATUS | wrapper  | 2014/10/30 19:31:39 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/10/30 19:31:47 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/10/30 19:31:48 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/10/30 19:31:48 | Launching a JVM...
INFO   | jvm 1    | 2014/10/30 19:31:48 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2014/10/30 19:31:48 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2014/10/30 19:31:48 | 
INFO   | jvm 1    | 2014/10/30 19:31:49 | 2014-10-30 19:31:49,090 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 1    | 2014/10/30 19:31:49 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 1    | 2014/10/30 19:31:49 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 1    | 2014/10/30 19:31:52 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 1    | 2014/10/30 19:31:52 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 1    | 2014/10/30 19:31:52 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 1    | 2014/10/30 19:32:02 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 1    | 2014/10/30 19:32:02 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 1    | 2014/10/30 19:32:02 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/10/31 07:27:15 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/10/31 07:27:15 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/10/31 07:27:19 | Launching a JVM...
WARN   | wrapper  | 2014/10/31 07:27:20 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 2    | 2014/10/31 07:27:20 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 2    | 2014/10/31 07:27:20 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 2    | 2014/10/31 07:27:20 | 
INFO   | jvm 2    | 2014/10/31 07:27:20 | 2014-10-31 07:27:20,840 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 2    | 2014/10/31 07:27:21 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 2    | 2014/10/31 07:27:21 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 2    | 2014/10/31 07:27:24 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 2    | 2014/10/31 07:27:24 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 2    | 2014/10/31 07:27:24 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 2    | 2014/10/31 07:27:28 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 2    | 2014/10/31 07:27:28 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 2    | 2014/10/31 07:27:28 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/10/31 17:56:31 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/10/31 17:56:31 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/10/31 17:56:36 | Launching a JVM...
INFO   | jvm 3    | 2014/10/31 17:56:36 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 3    | 2014/10/31 17:56:36 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 3    | 2014/10/31 17:56:36 | 
WARN   | wrapper  | 2014/10/31 17:56:36 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 3    | 2014/10/31 17:56:37 | 2014-10-31 17:56:37,077 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 3    | 2014/10/31 17:56:37 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 3    | 2014/10/31 17:56:37 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 3    | 2014/10/31 17:56:40 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 3    | 2014/10/31 17:56:40 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 3    | 2014/10/31 17:56:40 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 3    | 2014/10/31 17:56:44 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 3    | 2014/10/31 17:56:44 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 3    | 2014/10/31 17:56:44 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/01 05:21:06 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/01 05:21:06 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/01 05:21:11 | Launching a JVM...
WARN   | wrapper  | 2014/11/01 05:21:11 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 4    | 2014/11/01 05:21:11 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 4    | 2014/11/01 05:21:11 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 4    | 2014/11/01 05:21:11 | 
INFO   | jvm 4    | 2014/11/01 05:21:12 | 2014-11-01 05:21:12,217 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 4    | 2014/11/01 05:21:12 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 4    | 2014/11/01 05:21:12 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 4    | 2014/11/01 05:21:15 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 4    | 2014/11/01 05:21:15 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 4    | 2014/11/01 05:21:15 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 4    | 2014/11/01 05:21:19 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 4    | 2014/11/01 05:21:19 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 4    | 2014/11/01 05:21:19 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/01 20:21:54 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/01 20:21:54 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/01 20:21:58 | Launching a JVM...
INFO   | jvm 5    | 2014/11/01 20:21:59 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 5    | 2014/11/01 20:21:59 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 5    | 2014/11/01 20:21:59 | 
WARN   | wrapper  | 2014/11/01 20:21:59 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 5    | 2014/11/01 20:21:59 | 2014-11-01 20:21:59,754 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 5    | 2014/11/01 20:22:00 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 5    | 2014/11/01 20:22:00 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 5    | 2014/11/01 20:22:03 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 5    | 2014/11/01 20:22:03 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 5    | 2014/11/01 20:22:03 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 5    | 2014/11/01 20:22:07 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 5    | 2014/11/01 20:22:07 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 5    | 2014/11/01 20:22:07 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/02 14:59:38 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/02 14:59:38 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/02 14:59:42 | Launching a JVM...
WARN   | wrapper  | 2014/11/02 14:59:43 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 6    | 2014/11/02 14:59:43 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 6    | 2014/11/02 14:59:43 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 6    | 2014/11/02 14:59:43 | 
INFO   | jvm 6    | 2014/11/02 14:59:43 | 2014-11-02 14:59:43,801 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 6    | 2014/11/02 14:59:44 | Server log file located at /opt/rsa/esa/logs/esa.log
INFO   | jvm 6    | 2014/11/02 14:59:44 | Logging to sysout disabled. To enable, set system property "com.rsa.netwitness.carlos.LOG_ENABLE_SYSOUT" to true.
INFO   | jvm 6    | 2014/11/02 14:59:47 | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
INFO   | jvm 6    | 2014/11/02 14:59:47 | SLF4J: Defaulting to no-operation (NOP) logger implementation
INFO   | jvm 6    | 2014/11/02 14:59:47 | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
INFO   | jvm 6    | 2014/11/02 14:59:51 | SLF4J: Failed to load class "org.slf4j.impl.StaticMDCBinder".
INFO   | jvm 6    | 2014/11/02 14:59:51 | SLF4J: Defaulting to no-operation MDCAdapter implementation.
INFO   | jvm 6    | 2014/11/02 14:59:51 | SLF4J: See http://www.slf4j.org/codes.html#no_static_mdc_binder for further details.
ERROR  | wrapper  | 2014/11/03 03:30:14 | JVM appears hung: Timed out waiting for signal from JVM.
ERROR  | wrapper  | 2014/11/03 03:30:14 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/11/03 03:30:18 | Launching a JVM...
INFO   | jvm 7    | 2014/11/03 03:30:19 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 7    | 2014/11/03 03:30:19 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 7    | 2014/11/03 03:30:19 | 
WARN   | wrapper  | 2014/11/03 03:30:19 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 7    | 2014/11/03 03:30:19 | 2014-11-03 03:30:19,808 [WrapperSimpleAppMain] WARN  com.rsa.netwitness.carlos.i18n.MessageFactory - Can't find bundle for base name com.rsa.netwitness.carlos.management.proto.ManagementMessages, locale en_US; fabricating bundle dynamically.
INFO   | jvm 7    | 2014/11/03 03:30:20 | Server log file located at /opt/rsa/esa/logs/esa.log
